value_norm,Akkademia_df,CDLI_df,Cuneiml_df,Nuolenna_df,TextFabric_df,osl_df,wiki_df,oslID
108000,,,𒐮,,,,,
1081,,,𒐞 𒐜 𒁹,,,,,
1082,,,𒐞 𒐜 𒈫,,,,,
1083,,,𒐞 𒐜 𒐈,,,,,
1084,,,𒐞 𒐜 𒐉,,,,,
1085,,,𒐞 𒐜 𒐊,,,,,
1086,,,𒐞 𒐜 𒐋,,,,,
1087,,,𒐞 𒐜 𒐌,,,,,
1088,,,𒐞 𒐜 𒐍,,,,,
1089,,,𒐞 𒐜 𒑆,,,,,
109,,,𒐕 𒐏 𒑆,,,,,
1090,,,𒐞 𒐜 𒌋,,,,,
1091,,,𒐞 𒐜 𒌋 𒁹,,,,,
1092,,,𒐞 𒐜 𒌋 𒈫,,,,,
1093,,,𒐞 𒐜 𒌋 𒐈,,,,,
1094,,,𒐞 𒐜 𒌋 𒐉,,,,,
1095,,,𒐞 𒐜 𒌋 𒐊,,,,,
1096,,,𒐞 𒐜 𒌋 𒐋,,,,,
1097,,,𒐞 𒐜 𒌋 𒐌,,,,,
1098,,,𒐞 𒐜 𒌋 𒐍,,,,,
1099,,,𒐞 𒐜 𒌋 𒑆,,,,,
11,,𒌋𒁹,𒌋 𒁹,𒌋𒁹,,,,
11 1,,,𒌋 𒁹 𒁹,,,,,
110,,,𒐕 𒐐,,,,,
1100,,,𒐞 𒐜 𒌋𒌋,,,,,
1101,,,𒐞 𒐜 𒌋𒌋 𒁹,,,,,
1102,,,𒐞 𒐜 𒌋𒌋 𒈫,,,,,
1103,,,𒐞 𒐜 𒌋𒌋 𒐈,,,,,
1104,,,𒐞 𒐜 𒌋𒌋 𒐉,,,,,
1105,,,𒐞 𒐜 𒌋𒌋 𒐊,,,,,
1106,,,𒐞 𒐜 𒌋𒌋 𒐋,,,,,
